action,existing_product_id,existing_variant_id,brand,line,product_type,title,handle,description,benefits,instructions,warnings,category,collection,option_name,variant_title,tone_code,tone_name,presentation,sku,barcode,ean,upc,price_mxn,stock,manage_inventory,allow_backorder,thumbnail_file,image_files,weight_g,length_cm,width_cm,height_cm,sales_channel,shipping_profile,tags,metadata_source,source_reference,notes,review_status
UPDATE_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,variant_01KVV3GD87A2S476H48GGKQWK7,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 1 Negro, presentación de 90 ml.",,,,Coloración,Voglia,Tono,1 Negro,1,Negro,90 ml,VOGLIA-TINTE-1-90ML,7501633786017,7501633786017,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Naturales,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8601. Conserva el Variant ID existente y reemplaza la variante genérica actual por este tono.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 3 Castaño oscuro, presentación de 90 ml.",,,,Coloración,Voglia,Tono,3 Castaño oscuro,3,Castaño oscuro,90 ml,VOGLIA-TINTE-3-90ML,7501633786031,7501633786031,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Naturales,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8603. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 5 Castaño claro, presentación de 90 ml.",,,,Coloración,Voglia,Tono,5 Castaño claro,5,Castaño claro,90 ml,VOGLIA-TINTE-5-90ML,7501633786055,7501633786055,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Naturales,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8605. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 6 Rubio oscuro, presentación de 90 ml.",,,,Coloración,Voglia,Tono,6 Rubio oscuro,6,Rubio oscuro,90 ml,VOGLIA-TINTE-6-90ML,7501633786062,7501633786062,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Naturales,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8606. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 7 Rubio medio, presentación de 90 ml.",,,,Coloración,Voglia,Tono,7 Rubio medio,7,Rubio medio,90 ml,VOGLIA-TINTE-7-90ML,7501633786079,7501633786079,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Naturales,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8607. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 5.35 Castaño claro dorado caoba, presentación de 90 ml.",,,,Coloración,Voglia,Tono,5.35 Castaño claro dorado caoba,5.35,Castaño claro dorado caoba,90 ml,VOGLIA-TINTE-5-35-90ML,7501633786208,7501633786208,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Chocolate,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8620. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 5.65 Castaño claro rojo caoba, presentación de 90 ml.",,,,Coloración,Voglia,Tono,5.65 Castaño claro rojo caoba,5.65,Castaño claro rojo caoba,90 ml,VOGLIA-TINTE-5-65-90ML,7501633786260,7501633786260,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Rojos,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8626. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 6.622 Rojo violeta · rojo cereza · borgoña, presentación de 90 ml.",,,,Coloración,Voglia,Tono,6.622 Rojo violeta · rojo cereza · borgoña,6.622,Rojo violeta · rojo cereza · borgoña,90 ml,VOGLIA-TINTE-6-622-90ML,7501633786116,7501633786116,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Rojos,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8611. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 6.66 Rubio oscuro rojo intenso, presentación de 90 ml.",,,,Coloración,Voglia,Tono,6.66 Rubio oscuro rojo intenso,6.66,Rubio oscuro rojo intenso,90 ml,VOGLIA-TINTE-6-66-90ML,7501633786376,7501633786376,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Rojos,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8637. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 7.32 Rubio medio dorado irisado, presentación de 90 ml.",,,,Coloración,Voglia,Tono,7.32 Rubio medio dorado irisado,7.32,Rubio medio dorado irisado,90 ml,VOGLIA-TINTE-7-32-90ML,7501633786413,7501633786413,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Miel,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8641. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 7.35 Rubio medio dorado caoba, presentación de 90 ml.",,,,Coloración,Voglia,Tono,7.35 Rubio medio dorado caoba,7.35,Rubio medio dorado caoba,90 ml,VOGLIA-TINTE-7-35-90ML,7501633786420,7501633786420,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Chocolate,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8642. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 8.31 Rubio claro dorado cenizo, presentación de 90 ml.",,,,Coloración,Voglia,Tono,8.31 Rubio claro dorado cenizo,8.31,Rubio claro dorado cenizo,90 ml,VOGLIA-TINTE-8-31-90ML,7501633786512,7501633786512,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Beige,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8651. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 11.11 Rubio aclarante cenizo intenso, presentación de 90 ml.",,,,Coloración,Voglia,Tono,11.11 Rubio aclarante cenizo intenso,11.11,Rubio aclarante cenizo intenso,90 ml,VOGLIA-TINTE-11-11-90ML,7501633786802,7501633786802,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Aclarantes,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8680. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 4CC Castaño medio, presentación de 90 ml.",,,,Coloración,Voglia,Tono,4CC Castaño medio,4CC,Castaño medio,90 ml,VOGLIA-TINTE-4CC-90ML,7501633786659,7501633786659,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Cubre cana,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8665. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
ADD_VARIANT_TO_EXISTING,prod_01KVV3GD5ZD8R40HF48DRBF37A,,Voglia,Coloración permanente,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,"Tinte en crema para cabello Voglia, tono 5CC Castaño claro, presentación de 90 ml.",,,,Coloración,Voglia,Tono,5CC Castaño claro,5CC,Castaño claro,90 ml,VOGLIA-TINTE-5CC-90ML,7501633786666,7501633786666,,97,10,true,false,,,,,,,,,tinte permanente;90 ml;Cubre cana,catalogo-voglia-2026,Factura Voglia NFV94388; carta de color Voglia aportada por la propietaria,Número de parte del proveedor: 8666. Agregar como variante al producto Voglia existente; no crear un producto separado.,APPROVED
